,,,,,,,,,,,
Persyaratan Dasar,Verifikator,,,,,,,,,,
Kesesuaian Kegiatan Pemanfaatan Ruang (KKPR),"Direktorat Mikro
Direktorat Makro",,,,,,,,,,
Persetujuan Lingkungan (PL),Direktorat Lingkungan Hidup dan Penanggulangan Bencana,,,,,,,,,,
Persetujuan Bangunan Gedung (PBG),Direktorat Sarana Prasarana Dasar,,,,,,,,,,
Sertifikat Laik Fungsi (SLF),Direktorat Sarana Prasarana Dasar,,,,,,,,,,
,,,,,,,,,,,
"BIDANG BERDASARKAN 
PP 27/2023","SEKTOR BERDASARKAN 
SISTEM OSS",KBLI 5 DIGIT,JUDUL,VERIFIKATOR TEKNIS SEKTOR,PB - PBUMKU,VERIFIKATOR TEKNIS,LANTARA,VERIFIKATOR TEKNIS,PENGAMPU SEKTOR,KETERANGAN,
A. PENDIDIKAN,,,,,,,,,,,
Pendidikan,Pendidikan dan Kebudayaan,85131,Pendidikan Taman Kanak-Kanak Pemerintah,Dit Yandas,,,Izin Pendirian Taman Kanak-Kanak,Dit Yandas,Dit. Yandas,,69
,,85132,Pendidikan Taman Kanak-Kanak Swasta/Raudatul Athfal/Bustanul,Dit Yandas,,,Izin Pendirian Taman Kanak-Kanak,Dit Yandas,,,2
,,85135,Pendidikan Taman Kanak-Kanak Luar Biasa,Dit Yandas,,,Izin Pendirian Taman Kanak-Kanak,Dit Yandas,,untuk PMA dilaksanakan oleh KL Pusat,
,,,Pendidikan Taman Kanak-Kanak Luar Biasa (PMA),KL Pusat,,,,,,,
,,85133,Pendidikan Kelompok Bermain,Dit Yandas,,,Izin Pendirian Kelompok Bermain (KB) ,Dit Yandas,,untuk PMA dilaksanakan oleh KL Pusat,
,,,Pendidikan Kelompok Bermain (PMA),KL Pusat,,,Izin Pendirian Kelompok Bermain (KB) ,KL Pusat,,,
,,85134,Pendidikan Taman Penitipan Anak,Dit Yandas,,,Izin Pendirian Taman Penitipan Anak (TPA),Dit Yandas,,untuk PMA dilaksanakan oleh KL Pusat,
,,,Pendidikan Taman Penitipan Anak (PMA),KL Pusat,,,Izin Pendirian Taman Penitipan Anak (TPA),KL Pusat,,,
,,85139,Pendidikan Anak Usia Dini Sejenis Lainnya,Dit Yandas,,,Izin Pendirian Satuan Pendidikan Anak Usia Dini Sejenis (SPS) ,Dit Yandas,,untuk PMA dilaksanakan oleh KL Pusat,
,,,Pendidikan Anak Usia Dini Sejenis Lainnya (PMA),KL Pusat,,,,,,,
,,85151,Satuan Pendidikan Anak Usia Dini/Paud Al-Quran,Dit Yandas,,,Izin Pendirian Satuan Pendidikan Anak Usia Dini Sejenis (SPS) ,Dit Yandas,,perizinan tidak diproses melalui Sistem OSS Berbasis Risiko melainkan diajukan kepada Kementerian Agama melalui link: https://ditpdpontren.kemenag.go.id/ijoppdma,
,,85141,Satuan Pendidikan Kerjasama Kelompok Bermain,KL Pusat,,,,,,Kelompok Bermain yang diselenggarakan atau dikelola atas dasar kerja sama antara Lembaga Pendidikan Asing yang terakreditasi/diakui di negaranya dengan Lembaga Pendidikan di Indonesia pada jalur formal,
,,85142,Satuan Pendidikan Kerjasama Taman Kanak-Kanak,KL Pusat,,,,,,TK yang diselenggarakan atau dikelola atas dasar kerja sama antara Lembaga Pendidikan Asing yang terakreditasi/diakui di negaranya dengan Lembaga Pendidikan di Indonesia pada jalur formal,
,,85111,Pendidikan Dasar/Ibtidaiyah Pemerintah,Dit Yandas,,,Izin Pendirian Sekolah Dasar (SD),Dit Yandas,,,
,,85121,Pendidikan Dasar/Ibtidaiyah Swasta,Dit Yandas,,,Izin Pendirian Sekolah Dasar (SD),Dit Yandas,,,
